ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
5875086,HN593058,09/16/2007 08:15:00 PM,066XX S OAKLEY AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,0832,008,15,66,19,1162217,1860559,2007,04/15/2016 08:55:02 AM,41.773032995,-87.680907049,"(41.773032995, -87.680907049)"
5876568,HN683877,11/01/2007 08:47:13 PM,075XX S BLACKSTONE AVE,1661,GAMBLING,GAME/DICE,ALLEY,true,false,0411,004,5,43,19,1187508,1855462,2007,04/15/2016 08:55:02 AM,41.758482482,-87.588359258,"(41.758482482, -87.588359258)"
5876601,HN683561,11/01/2007 06:02:42 PM,051XX W MADISON ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1533,015,28,25,19,1142328,1899543,2007,04/15/2016 08:55:02 AM,41.880401861,-87.752850634,"(41.880401861, -87.752850634)"
5877110,HN595042,09/17/2007 07:55:00 PM,024XX W 64TH ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,0825,008,15,66,19,1161032,1862147,2007,04/15/2016 08:55:02 AM,41.777415276,-87.685207114,"(41.777415276, -87.685207114)"
5879334,HN685049,11/02/2007 02:30:00 PM,055XX W QUINCY ST,1661,GAMBLING,GAME/DICE,ALLEY,true,false,1522,015,29,25,19,1139602,1898454,2007,04/15/2016 08:55:02 AM,41.877463662,-87.762886951,"(41.877463662, -87.762886951)"
5879583,HN685191,11/02/2007 03:23:42 PM,035XX W WALNUT ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1123,011,28,27,19,1152828,1901467,2007,04/15/2016 08:55:02 AM,41.885480161,-87.714244427,"(41.885480161, -87.714244427)"
5886715,HN689234,11/04/2007 07:00:00 PM,038XX W DIVISION ST,1661,GAMBLING,GAME/DICE,PARKING LOT/GARAGE(NON.RESID.),true,false,1112,011,27,23,19,1150708,1907730,2007,04/15/2016 08:55:02 AM,41.902708181,-87.721865617,"(41.902708181, -87.721865617)"
5891148,HN583528,09/11/2007 07:15:00 PM,028XX W ROOSEVELT RD,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1135,011,28,29,19,1157442,1894581,2007,04/15/2016 08:55:02 AM,41.866491707,-87.697488213,"(41.866491707, -87.697488213)"
5891806,HN685899,11/02/2007 10:00:00 PM,007XX N LEAMINGTON AVE,1661,GAMBLING,GAME/DICE,STREET,true,false,1531,015,28,25,19,1141888,1904485,2007,04/15/2016 08:55:02 AM,41.893971467,-87.754343852,"(41.893971467, -87.754343852)"
5892602,HN688982,11/04/2007 03:50:00 PM,038XX W ADAMS ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1122,011,28,26,19,1150865,1898738,2007,04/15/2016 08:55:02 AM,41.878030124,-87.721524427,"(41.878030124, -87.721524427)"
